vendor_name,Category,Location,Price Tier,Price (LKR),Rating (out of 5),Experience (Years),Weddings Completed,Response Time (Hours),Verified,Number of Packages,Social Media Followers,Repeat Client Rate,Recommended
Premium Wheels Lanka,Wedding Cars,Kegalle,Mid-Range,44100,3.6,3,39,21.5,Yes,2,15546,0.25,No
Enchanted Events Lanka,Decorators,Gampaha,Premium,828600,4.4,18,306,4.2,Yes,5,17837,0.4,Yes
Nimali Design Studio,Wedding Invitations,Ratnapura,Premium,111000,4.0,18,216,0.5,Yes,4,42850,0.38,Yes
Thisara Catering,Catering,Colombo,Budget,107500,3.2,4,84,34.4,No,1,9615,0.31,No
Radiant Decor Studio,Decorators,Galle,Mid-Range,180400,3.7,1,9,22.5,Yes,3,15622,0.24,No
Forever Frames Lanka,Photographers,Badulla,Mid-Range,79200,3.7,16,224,2.8,Yes,3,21033,0.26,Yes
Serenity Decorators,Decorators,Hambantota,Premium,453900,4.0,17,350,7.1,Yes,6,15125,0.31,Yes
Lens & Light Studio,Photographers,Gampaha,Budget,36300,3.4,11,250,28.6,No,2,863,0.24,No
Chamara Beauty Studio,Attire & Beauty,Gampaha,Premium,318000,4.3,1,24,6.6,Yes,5,26485,0.4,Yes
The Grand Pavilion Lanka,Venues,Colombo,Mid-Range,199400,4.4,3,60,22.9,Yes,2,18560,0.4,Yes
Bake House Colombo,Wedding Cakes,Kalutara,Mid-Range,66800,3.6,3,24,16.0,Yes,4,3653,0.33,No
Starlight Entertainment,Entertainment,Gampaha,Premium,215700,4.4,12,132,2.3,Yes,5,12870,0.4,Yes
Spice Garden Catering,Catering,Colombo,Mid-Range,333400,5.0,1,16,10.2,No,5,2252,0.59,No
Melody Makers Lanka,Entertainment,Hambantota,Premium,301200,4.5,18,198,3.6,Yes,6,32317,0.39,No
Prism Photography Lanka,Photographers,Puttalam,Mid-Range,65700,4.1,3,36,6.3,Yes,2,22725,0.4,Yes
Regal Feast Catering,Catering,Mullaitivu,Budget,155000,3.7,4,32,30.7,No,1,7398,0.28,Yes
Radiant Bride Lanka,Attire & Beauty,Colombo,Premium,337900,3.6,13,143,7.8,Yes,3,62770,0.36,Yes
Capture Ceylon,Photographers,Gampaha,Budget,38700,3.2,10,230,35.5,No,2,10414,0.28,No
Lakshmi Catering House,Catering,Matara,Mid-Range,238600,2.8,17,255,14.7,Yes,3,3312,0.1,No
Thisara Visual Studio,Photographers,Colombo,Budget,28100,3.9,15,165,8.8,No,1,9965,0.31,Yes
Sapphire Decor Lanka,Decorators,Matara,Premium,706000,5.0,7,70,2.5,Yes,6,33575,0.52,Yes
Elegance Auto Lanka,Wedding Cars,Colombo,Mid-Range,34000,3.6,12,144,9.1,No,5,37391,0.36,No
Sugared Bliss Cakes,Wedding Cakes,Colombo,Mid-Range,65100,4.8,18,306,14.5,No,4,16228,0.5,Yes
Live Beat Productions,Entertainment,Gampaha,Mid-Range,145500,3.3,4,100,16.1,Yes,3,18842,0.26,No
Serenade Entertainment,Entertainment,Colombo,Mid-Range,87300,3.2,13,208,5.5,Yes,2,16378,0.19,Yes
Golden Spoon Catering,Catering,Kandy,Mid-Range,381300,4.2,10,160,4.3,Yes,2,43640,0.46,Yes
Harmony Events Lanka,Entertainment,Colombo,Mid-Range,76500,3.5,14,280,22.8,No,2,3761,0.22,No
Crescendo Band Lanka,Entertainment,Negombo,Premium,181700,4.1,3,57,0.7,Yes,3,93884,0.39,No
White Rose Limo Lanka,Wedding Cars,Matara,Budget,14300,4.1,15,250,2.6,Yes,1,6165,0.32,Yes
Sunil Perera Entertainment,Entertainment,Gampaha,Mid-Range,133400,3.3,1,9,15.2,Yes,5,32878,0.25,No
Dream Decor Creations,Decorators,Galle,Mid-Range,96700,3.8,11,209,5.1,Yes,3,14595,0.41,No
Blush Print Lanka,Wedding Invitations,Kalutara,Mid-Range,40200,3.8,9,153,13.5,Yes,3,1993,0.36,Yes
Mihiri Bridal Couture,Attire & Beauty,Kegalle,Budget,28800,3.6,13,169,15.5,Yes,3,1559,0.21,Yes
The Cake Studio Lanka,Wedding Cakes,Galle,Mid-Range,34800,4.3,5,45,13.5,No,3,20250,0.36,No
Nilmini Cake Designs,Wedding Cakes,Ratnapura,Premium,170400,4.3,11,154,1.1,Yes,4,37422,0.46,Yes
Fondant Dreams Lanka,Wedding Cakes,Matara,Budget,9000,2.7,2,20,14.7,No,2,6172,0.21,No
Royal Script Invitations,Wedding Invitations,Badulla,Mid-Range,37500,4.4,11,176,4.4,No,3,5698,0.44,Yes
Nelum Decorators,Decorators,Kalutara,Mid-Range,198900,5.0,10,250,11.4,Yes,5,4215,0.54,Yes
Crystal Ballroom Lanka,Venues,Badulla,Mid-Range,461000,4.3,11,99,3.3,Yes,5,4988,0.48,Yes
Royal Kitchen Catering,Catering,Kandy,Budget,102600,3.7,9,72,35.6,No,1,1006,0.23,No
Elegant Touch Decor,Decorators,Hambantota,Mid-Range,190000,3.7,12,228,8.8,Yes,2,10577,0.23,Yes
Savor Lanka Catering,Catering,Kandy,Premium,780000,4.2,10,190,6.9,Yes,6,97894,0.38,Yes
Thilini Beauty Salon,Attire & Beauty,Ampara,Mid-Range,59000,3.2,4,32,17.1,Yes,2,13225,0.25,No
Butter & Bloom Cakes,Wedding Cakes,Colombo,Mid-Range,77800,4.2,9,180,19.6,Yes,2,32992,0.45,No
Milestone Photography,Photographers,Monaragala,Mid-Range,73400,3.8,13,234,21.4,Yes,4,2760,0.38,Yes
Celebrate Cakes Lanka,Wedding Cakes,Colombo,Mid-Range,45700,4.5,16,208,17.8,Yes,4,27964,0.39,Yes
Celebration Craft Lanka,Decorators,Gampaha,Budget,51200,2.8,9,135,10.3,Yes,3,3133,0.22,No
Araliya Catering,Catering,Gampaha,Mid-Range,315300,4.6,5,75,10.3,No,5,27660,0.46,Yes
Groove Island Band,Entertainment,Jaffna,Budget,22700,3.2,11,242,9.8,No,1,4735,0.25,No
Eden Stationery Lanka,Wedding Invitations,Colombo,Budget,4000,3.0,1,15,4.5,Yes,2,1028,0.24,No
Lotus Garden Venue,Venues,Kandy,Mid-Range,314200,3.7,17,374,2.6,Yes,2,11740,0.34,No
Celebration Sounds Lanka,Entertainment,Colombo,Mid-Range,124900,3.7,8,176,21.3,No,5,26297,0.23,No
Sudu Nelum Catering,Catering,Colombo,Budget,153300,2.1,3,48,10.2,No,1,11338,0.09,No
Pearls & Lace Boutique,Attire & Beauty,Kandy,Mid-Range,63000,4.3,15,375,23.0,Yes,2,30015,0.45,Yes
Glow Events Decor,Decorators,Galle,Mid-Range,275600,4.2,17,204,10.6,Yes,4,22610,0.4,Yes
Pearl Hall Colombo,Venues,Kandy,Budget,69800,4.2,17,250,34.0,Yes,2,9782,0.38,Yes
Heritage Catering Lanka,Catering,Badulla,Mid-Range,283400,4.3,17,187,10.8,No,4,19753,0.37,Yes
Danidu Catering,Catering,Kalutara,Premium,713000,4.6,1,24,0.5,Yes,5,52783,0.41,Yes
Gold Leaf Invitations,Wedding Invitations,Kandy,Premium,134600,3.6,6,150,1.5,Yes,5,15012,0.23,Yes
Pulse Entertainment,Entertainment,Negombo,Mid-Range,149500,3.9,3,66,14.0,No,2,18253,0.35,No
Ama Bridal Studio,Attire & Beauty,Jaffna,Premium,202200,3.8,8,184,3.1,Yes,3,55173,0.37,Yes
Golden Hour Lanka,Photographers,Gampaha,Budget,31400,3.2,14,168,16.2,Yes,1,4883,0.15,No
Shutter & Soul Photography,Photographers,Gampaha,Budget,33600,4.3,10,230,21.2,Yes,3,9067,0.39,Yes
Petal & Vine Decorators,Decorators,Kandy,Mid-Range,191200,3.9,12,240,14.8,Yes,2,3439,0.36,No
Royal Melodies Lanka,Entertainment,Negombo,Budget,22700,2.0,3,66,23.7,Yes,1,5018,0.01,No
Thisari Cake Studio,Wedding Cakes,Negombo,Mid-Range,71200,3.4,12,120,13.6,Yes,5,20471,0.21,Yes
Alegria Entertainment,Entertainment,Kalutara,Mid-Range,77000,3.6,4,60,10.6,Yes,3,21455,0.34,No
DJ Kasun Events,Entertainment,Trincomalee,Budget,46800,3.3,11,250,18.2,Yes,1,7186,0.29,Yes
Velvet Touch Cards Lanka,Wedding Invitations,Negombo,Mid-Range,21800,4.4,9,207,14.2,Yes,5,17165,0.46,Yes
Elegant Tier Cakes,Wedding Cakes,Colombo,Budget,16500,3.9,15,180,20.8,Yes,3,4722,0.29,Yes
Delice Cake Lanka,Wedding Cakes,Colombo,Mid-Range,35900,4.3,15,255,12.7,Yes,4,42529,0.47,Yes
Siyara Cake Creations,Wedding Cakes,Galle,Budget,21500,3.5,5,105,13.9,No,2,3763,0.32,No
Patisserie Ceylon,Wedding Cakes,Trincomalee,Mid-Range,34000,3.8,5,55,14.0,Yes,4,14138,0.26,No
Prasanna Catering Services,Catering,Matara,Mid-Range,285900,3.7,18,180,11.1,Yes,5,4460,0.27,Yes
Whisk & Frost Lanka,Wedding Cakes,Kegalle,Mid-Range,42900,4.1,17,272,11.0,Yes,5,7984,0.45,Yes
Nisha Bridal Collections,Attire & Beauty,Colombo,Premium,343100,4.6,4,32,1.4,Yes,6,51616,0.5,Yes
Bloom Cake Studio,Wedding Cakes,Ampara,Mid-Range,68400,4.7,4,32,2.1,Yes,4,13910,0.45,Yes
Serenity Resort Venue,Venues,Gampaha,Budget,129600,3.5,11,154,25.9,Yes,3,2200,0.28,Yes
Prestige Cars Lanka,Wedding Cars,Jaffna,Budget,12500,3.6,18,250,10.7,Yes,3,7088,0.31,Yes
Emerald Garden Lanka,Venues,Gampaha,Mid-Range,176300,4.6,2,40,12.5,No,4,7191,0.5,Yes
Royal Elegance Decor,Decorators,Kalutara,Budget,42200,2.6,10,200,30.1,No,3,3056,0.12,No
Ivory & Gold Decorators,Decorators,Puttalam,Mid-Range,211600,4.3,18,378,23.6,Yes,4,15403,0.43,Yes
Dilini Makeup & Bridal,Attire & Beauty,Anuradhapura,Budget,16800,2.9,14,196,32.0,No,1,7199,0.09,Yes
Ceylon Classic Car Hire,Wedding Cars,Ratnapura,Budget,8300,4.4,16,250,23.1,No,2,482,0.37,No
Suranga Bridal House,Attire & Beauty,Colombo,Mid-Range,83200,4.6,13,143,11.6,Yes,3,12623,0.51,Yes
Nimasha Decor Studio,Decorators,Kandy,Budget,79600,4.4,1,19,5.9,Yes,2,2908,0.46,Yes
Island Beats Lanka,Entertainment,Matara,Budget,29100,4.4,4,72,18.5,No,2,4773,0.47,No
Crown Motor Services,Wedding Cars,Kandy,Mid-Range,36000,4.3,16,368,12.2,Yes,2,20669,0.42,Yes
Sandya Decorators,Decorators,Colombo,Premium,566400,3.9,13,143,7.2,Yes,6,12467,0.28,Yes
Amora Cake Boutique,Wedding Cakes,Jaffna,Mid-Range,31800,4.1,5,110,11.1,Yes,2,7977,0.45,Yes
The Royal Banquet Hall,Venues,Kandy,Premium,573000,4.6,6,54,1.1,Yes,3,59021,0.45,Yes
Sapphire Banquet Lanka,Venues,Kalutara,Mid-Range,384400,4.1,12,96,13.9,Yes,2,18907,0.34,Yes
Sachith Photography,Photographers,Gampaha,Premium,422200,4.3,15,300,5.3,Yes,3,58320,0.38,Yes
Soundwave Entertainment,Entertainment,Hambantota,Mid-Range,134300,4.1,11,88,4.5,Yes,2,10891,0.32,No
Lakshika Bridal Atelier,Attire & Beauty,Galle,Premium,320700,4.5,7,112,5.7,Yes,5,6836,0.4,Yes
Lakna Print Studio,Wedding Invitations,Kandy,Mid-Range,47100,3.4,18,360,5.3,Yes,2,7713,0.26,Yes
Frame Perfect Lanka,Photographers,Matara,Budget,51100,3.8,8,160,18.8,Yes,2,4358,0.39,Yes
Vision Studio Lanka,Photographers,Gampaha,Mid-Range,64100,4.2,11,88,18.8,Yes,2,10865,0.35,Yes
Grand Arrival Lanka,Wedding Cars,Kalutara,Mid-Range,45700,3.8,12,288,20.3,Yes,2,23581,0.27,Yes
Eternity Shots,Photographers,Trincomalee,Mid-Range,139900,4.2,1,25,21.3,No,2,8826,0.39,Yes
Sterling Car Hire Lanka,Wedding Cars,Nuwara Eliya,Budget,10700,4.1,18,250,4.3,Yes,2,3275,0.35,Yes
Anoma Cake House,Wedding Cakes,Gampaha,Mid-Range,66000,3.4,15,270,16.4,Yes,2,14262,0.25,Yes
Lush Floral Decor,Decorators,Kandy,Mid-Range,156900,4.7,12,108,4.6,Yes,5,12449,0.39,Yes
Pearl Catering,Catering,Colombo,Mid-Range,393500,4.3,10,100,3.3,Yes,4,28629,0.49,Yes
Crafted With Love Lanka,Wedding Invitations,Anuradhapura,Budget,12900,4.0,12,108,18.0,No,1,2370,0.35,No
Elegance Print Lanka,Wedding Invitations,Colombo,Mid-Range,44900,4.5,14,322,10.9,Yes,4,28620,0.45,Yes
Paradise Decor Lanka,Decorators,Kandy,Budget,69700,3.8,11,165,29.1,No,2,1177,0.26,No
Rolls Lanka Motors,Wedding Cars,Kandy,Budget,15000,3.4,10,140,2.2,Yes,1,2241,0.34,Yes
Island Paradise Venue,Venues,Colombo,Mid-Range,330900,3.5,9,225,2.8,Yes,3,16407,0.28,Yes
Dimuth Photography,Photographers,Trincomalee,Budget,54000,3.7,1,14,29.2,No,1,6768,0.37,No
Amoda Catering,Catering,Jaffna,Budget,78600,3.4,4,72,3.4,No,1,887,0.23,No
Nayana Catering,Catering,Colombo,Premium,654600,4.0,12,168,6.7,Yes,6,70720,0.45,Yes
Candid Moments Lanka,Photographers,Kandy,Mid-Range,101800,4.8,7,98,11.3,Yes,4,43756,0.43,Yes
Premier Events Lanka,Entertainment,Colombo,Mid-Range,103700,4.3,10,80,1.4,Yes,2,12347,0.46,Yes
Bloom Bridal Studio,Attire & Beauty,Kalutara,Mid-Range,83300,3.7,16,256,11.5,Yes,3,12130,0.35,Yes
Rustic Charm Invites,Wedding Invitations,Anuradhapura,Budget,6300,2.6,15,120,17.7,Yes,3,3604,0.1,Yes
Bloom Stationery Lanka,Wedding Invitations,Gampaha,Premium,142600,4.0,12,144,1.8,Yes,6,100000,0.37,Yes
Euphoria Band Lanka,Entertainment,Matara,Mid-Range,60700,4.1,2,42,21.8,Yes,5,14308,0.41,No
Kasun Decorators,Decorators,Hambantota,Budget,65600,3.2,5,90,33.3,Yes,3,2149,0.14,No
Sweet Layers Lanka,Wedding Cakes,Matara,Premium,155300,3.8,17,221,1.3,Yes,6,58189,0.3,Yes
Divya Beauty Lounge,Attire & Beauty,Galle,Mid-Range,51900,4.0,6,144,9.2,Yes,3,4881,0.39,Yes
Starlight Decor Events,Decorators,Kalutara,Mid-Range,108400,3.8,3,36,18.1,Yes,5,18256,0.41,No
Sunrise Catering Lanka,Catering,Gampaha,Budget,132700,3.1,17,187,23.2,Yes,3,4448,0.3,Yes
Savoy Car Services,Wedding Cars,Colombo,Mid-Range,32800,3.3,9,135,19.4,Yes,3,37490,0.17,Yes
Hasini Bridal Fashion,Attire & Beauty,Colombo,Premium,158900,4.4,7,161,2.0,Yes,5,32746,0.39,Yes
Kavisha Beauty Studio,Attire & Beauty,Negombo,Mid-Range,146600,3.4,16,192,20.4,Yes,5,16291,0.29,Yes
Bridal Wheels Lanka,Wedding Cars,Monaragala,Budget,14300,3.3,10,250,23.9,No,3,3584,0.18,No
Heaven's Gate Venue,Venues,Kalutara,Premium,1741600,4.8,15,210,4.4,Yes,6,13914,0.44,Yes
Gala Events Sri Lanka,Entertainment,Kandy,Budget,46000,4.1,10,180,10.6,No,1,8003,0.34,Yes
Pearl Paper Studio,Wedding Invitations,Matara,Mid-Range,47700,3.8,15,375,5.7,Yes,2,1314,0.34,No
Infinite Lens Studio,Photographers,Kalutara,Mid-Range,99500,2.5,12,228,19.2,Yes,2,5458,0.12,Yes
Script & Seal Lanka,Wedding Invitations,Kandy,Mid-Range,39600,4.3,18,306,13.6,Yes,5,28200,0.45,Yes
Malsha Event Decor,Decorators,Colombo,Premium,408800,3.9,1,21,4.4,Yes,3,65583,0.37,Yes
Forever Ink Invitations,Wedding Invitations,Batticaloa,Mid-Range,48400,3.2,7,133,3.3,No,4,12546,0.25,No
Sethum Decorators,Decorators,Mannar,Mid-Range,248900,4.3,14,350,16.6,No,3,2648,0.47,Yes
Sugar & Spice Cakes Lanka,Wedding Cakes,Colombo,Mid-Range,70500,3.0,2,30,11.4,No,2,6226,0.11,No
Ravindu Photography,Photographers,Kurunegala,Premium,395400,4.7,1,20,5.2,Yes,3,57834,0.42,Yes
Regal Bloom Decor,Decorators,Gampaha,Budget,57600,3.9,16,250,29.0,No,2,9520,0.4,Yes
The Orchid Hall Lanka,Venues,Vavuniya,Premium,1737300,4.5,12,180,2.7,Yes,4,56786,0.48,Yes
Dinemore Catering,Catering,Kegalle,Mid-Range,367600,4.0,15,120,2.9,Yes,5,20801,0.3,Yes
Amara Decor Lanka,Decorators,Anuradhapura,Budget,68100,3.3,17,250,6.6,No,1,3910,0.19,No
Nilaveli Bay Resort,Venues,Kandy,Premium,895700,4.1,14,336,2.2,Yes,3,100000,0.39,Yes
Sunrise Print Lanka,Wedding Invitations,Gampaha,Mid-Range,16500,3.4,15,180,15.7,Yes,5,31108,0.34,Yes
Chaminda Catering,Catering,Matara,Budget,143500,4.8,3,39,15.2,Yes,3,3581,0.58,No
Fiesta Entertainment Lanka,Entertainment,Galle,Budget,44400,3.1,3,54,30.8,No,3,390,0.18,No
Dulari Bridal World,Attire & Beauty,Colombo,Budget,29000,2.8,17,238,31.9,Yes,2,11474,0.19,Yes
Lace & Letter Lanka,Wedding Invitations,Colombo,Budget,12400,3.3,18,250,2.3,No,3,4695,0.33,Yes
Regal Print Studio,Wedding Invitations,Vavuniya,Mid-Range,22500,4.3,3,54,4.4,No,4,1670,0.44,Yes
Nirosha Band Lanka,Entertainment,Ampara,Mid-Range,97700,4.4,17,221,16.8,No,5,17729,0.45,Yes
Vibrance Entertainment,Entertainment,Kandy,Budget,31800,3.3,7,154,4.1,Yes,2,9547,0.18,No
Nalin Visual Arts,Photographers,Kandy,Premium,241500,4.2,6,78,7.3,Yes,4,83470,0.36,Yes
Cloud Nine Cakes,Wedding Cakes,Trincomalee,Premium,83600,4.0,15,345,2.8,Yes,5,48659,0.39,Yes
Sanda Stationery Lanka,Wedding Invitations,Badulla,Mid-Range,26100,3.8,14,238,14.8,Yes,2,9967,0.29,Yes
Nishantha Catering House,Catering,Kalutara,Premium,910600,4.6,14,322,4.5,Yes,4,53939,0.41,No
Heritage Invites Lanka,Wedding Invitations,Kurunegala,Budget,10200,3.4,4,56,20.2,No,3,4564,0.27,No
Lakeside Manor Lanka,Venues,Kegalle,Mid-Range,348700,3.7,7,154,10.9,No,4,20660,0.27,No
Crystal Clear Photography,Photographers,Negombo,Premium,209600,4.4,14,168,3.5,Yes,5,79314,0.53,Yes
Chaminda Lens Studio,Photographers,Matara,Budget,34800,3.0,14,250,33.1,No,2,4825,0.11,Yes
Maestro Events Lanka,Entertainment,Kalutara,Mid-Range,149100,2.8,1,22,10.9,Yes,5,7819,0.14,No
Silver Note Band,Entertainment,Gampaha,Mid-Range,116800,3.8,17,289,4.0,Yes,5,5691,0.38,Yes
True Story Photography,Photographers,Matara,Mid-Range,76000,2.5,10,180,3.9,Yes,4,10379,0.12,Yes
The Terrace Venue Lanka,Venues,Ratnapura,Premium,1507500,4.2,6,132,7.0,Yes,3,7443,0.38,No
Floral Bliss Decorators,Decorators,Trincomalee,Mid-Range,94400,4.1,1,20,19.4,No,2,23673,0.43,No
Kaushi Cake Studio,Wedding Cakes,Gampaha,Budget,13200,4.0,11,121,5.0,No,2,10383,0.37,Yes
Diamond Drive Lanka,Wedding Cars,Negombo,Mid-Range,24200,4.2,17,238,15.4,Yes,4,10935,0.38,Yes
Amara Frames Lanka,Photographers,Colombo,Premium,336100,4.3,12,120,3.6,Yes,5,95611,0.35,Yes
Kadamba Entertainment,Entertainment,Puttalam,Premium,259600,3.9,12,288,3.7,Yes,6,62592,0.34,Yes
Glimpse Photography,Photographers,Colombo,Budget,26800,2.7,15,250,26.2,Yes,1,7276,0.07,No
Velvet Crumb Cakes,Wedding Cakes,Batticaloa,Mid-Range,49300,3.8,7,119,10.4,Yes,5,9552,0.31,No
Thisaru Decor Studio,Decorators,Gampaha,Mid-Range,180800,3.4,12,108,6.0,Yes,5,32304,0.27,Yes
Ivory Castle Hall,Venues,Galle,Budget,113600,2.8,14,250,25.0,Yes,3,3929,0.2,No
Noble Fleet Lanka,Wedding Cars,Galle,Mid-Range,54600,3.9,1,12,8.7,Yes,3,2659,0.39,No
Sanda Catering Lanka,Catering,Colombo,Budget,192800,2.9,9,108,11.6,No,2,4400,0.09,No
Seyli Bridal Couture,Attire & Beauty,Colombo,Mid-Range,92300,3.0,17,187,17.9,Yes,3,2757,0.16,No
Chauffeur Lanka,Wedding Cars,Negombo,Mid-Range,45600,3.8,3,33,7.6,Yes,2,11308,0.34,No
Island Sweet Creations,Wedding Cakes,Gampaha,Budget,16100,2.8,13,247,22.1,Yes,3,3010,0.17,No
Regal Capture Lanka,Photographers,Kalutara,Budget,52900,3.7,6,78,8.0,No,2,6347,0.32,No
Glam Lanka Bridal Studio,Attire & Beauty,Matara,Mid-Range,91600,4.5,16,304,12.7,Yes,5,17081,0.49,Yes
Eden Event Decor,Decorators,Galle,Budget,33300,3.9,9,126,25.2,No,1,6109,0.41,No
Tempo Lanka Band,Entertainment,Kandy,Premium,295500,4.5,8,152,7.6,No,5,46508,0.39,Yes
Nimasha Bridal Studio,Attire & Beauty,Puttalam,Premium,304400,4.8,17,272,6.0,Yes,3,32780,0.51,No
Gardenia Venue Lanka,Venues,Gampaha,Mid-Range,264100,3.4,12,204,22.5,Yes,4,16056,0.2,Yes
Classy Auto Weddings,Wedding Cars,Puttalam,Budget,11100,3.1,10,240,31.7,No,2,3022,0.22,No
Amara Paper Works,Wedding Invitations,Gampaha,Budget,13000,3.5,9,90,8.9,Yes,2,759,0.25,Yes
Forever Drive Lanka,Wedding Cars,Galle,Budget,10300,3.1,16,128,13.3,Yes,3,618,0.21,No
Ceylon Script Studio,Wedding Invitations,Galle,Budget,11200,3.5,6,48,2.0,No,1,7696,0.31,No
Ivory Wheels Lanka,Wedding Cars,Matara,Mid-Range,37600,3.7,7,154,3.5,Yes,5,23950,0.23,Yes
Serendib Auto Lanka,Wedding Cars,Gampaha,Mid-Range,27500,3.8,1,20,5.4,Yes,3,13878,0.28,No
Vibe Events Lanka,Entertainment,Hambantota,Premium,204800,4.1,17,289,5.6,Yes,4,39075,0.43,Yes
Blue Horizon Hall,Venues,Jaffna,Budget,101600,3.9,11,231,27.5,Yes,1,2684,0.38,Yes
Suresh Visual Studio,Photographers,Anuradhapura,Budget,50600,3.3,8,200,24.4,No,2,7230,0.18,No
Regal Tier Cakes,Wedding Cakes,Gampaha,Budget,20900,2.6,13,195,9.3,No,3,9559,0.13,No
Islandwide Entertainment,Entertainment,Kandy,Mid-Range,140700,3.8,16,352,20.7,Yes,3,15707,0.31,Yes
Chamara Decorators,Decorators,Galle,Mid-Range,229000,3.6,18,216,16.6,Yes,3,6416,0.22,Yes
Dawn Light Photography,Photographers,Polonnaruwa,Mid-Range,118100,4.6,15,195,1.1,Yes,3,18584,0.55,Yes
Luxe Decor Lanka,Decorators,Matara,Mid-Range,274000,4.1,8,64,4.8,Yes,4,17916,0.38,Yes
Fusion Beats Lanka,Entertainment,Nuwara Eliya,Premium,244900,4.8,1,8,6.9,Yes,5,58928,0.56,Yes
Malki Beauty Lounge,Attire & Beauty,Galle,Budget,37500,3.5,16,208,11.2,Yes,2,7568,0.23,Yes
First Class Limo Lanka,Wedding Cars,Kandy,Mid-Range,20600,4.4,4,68,6.8,Yes,2,8950,0.38,No
Royal Feast Catering,Catering,Kandy,Mid-Range,415800,4.3,12,120,8.3,Yes,5,36720,0.38,Yes
Pristine Event Decor,Decorators,Galle,Budget,51900,3.8,12,250,20.6,No,2,7283,0.33,No
Anusha Bridal Collections,Attire & Beauty,Ratnapura,Budget,16400,2.3,9,207,22.8,Yes,1,692,0.1,No
Imara Lens Works,Photographers,Kandy,Premium,325700,4.4,18,288,0.5,Yes,5,26120,0.48,Yes
Calligraphy Lanka,Wedding Invitations,Ratnapura,Premium,115000,4.7,6,132,5.5,Yes,4,44323,0.55,Yes
Shanth Entertainment,Entertainment,Kandy,Mid-Range,126000,3.9,3,24,15.8,Yes,4,3111,0.32,No
Chamindi Cake House,Wedding Cakes,Galle,Mid-Range,40800,4.5,6,150,10.0,Yes,5,6829,0.4,Yes
Rhythm Lanka Band,Entertainment,Gampaha,Premium,371600,4.1,13,195,1.1,Yes,6,8749,0.33,Yes
Thilina Banquet Hall,Venues,Gampaha,Budget,64100,3.2,12,144,18.5,No,3,5265,0.28,No
Starlight Entertainment,Entertainment,Nuwara Eliya,Mid-Range,79100,4.2,12,300,24.6,Yes,2,10303,0.39,Yes
Golden Drape Atelier,Attire & Beauty,Kandy,Mid-Range,79800,3.2,16,208,16.8,Yes,5,24291,0.29,Yes
Bloom & Blossom Decor,Decorators,Kurunegala,Budget,82100,4.4,14,126,34.3,No,1,2469,0.5,Yes
Prestige Drive Lanka,Wedding Cars,Anuradhapura,Premium,197200,4.2,4,96,2.7,Yes,6,71015,0.4,Yes
